Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
veh0,0,veh0,0,veh0,0,veh0,0,veh0,0
,0,,0,,0,,0,veh1,0
veh2,0,veh2,0,veh2,0,veh2,0,veh2,0
veh3,0,veh3,1,veh3,1,veh3,1,veh3,1
veh4,0,veh4,0,veh4,0,veh4,0,veh4,1
veh5,0,veh5,0,veh5,0,veh5,0,veh5,0
,0,,0,,0,,0,,0
veh7,0,veh7,0,veh7,0,veh7,0,veh7,0
,0,,0,veh8,0,veh8,0,veh8,0
veh9,0,veh9,0,veh9,0,veh9,0,veh9,0
veh10,0,veh10,0,veh10,0,veh10,0,veh10,0
veh11,0,veh11,0,veh11,0,veh11,0,veh11,0
,0,,0,,0,,0,,0
veh13,0,veh13,0,veh13,0,veh13,0,veh13,0
veh14,0,veh14,0,veh14,0,veh14,0,veh14,0
veh15,0,veh15,0,veh15,0,veh15,0,veh15,0
veh16,0,veh16,0,veh16,0,veh16,0,veh16,0
veh17,0,veh17,0,veh17,0,veh17,0,veh17,1
veh18,1,veh18,1,veh18,1,veh18,1,veh18,1
veh19,1,veh19,1,veh19,0,veh19,0,veh19,0
,0,,0,,0,,0,,0
veh21,0,veh21,0,veh21,0,veh21,0,veh21,0
veh22,0,veh22,0,veh22,0,veh22,0,veh22,0
veh23,0,veh23,0,veh23,0,veh23,0,veh23,0
veh24,0,veh24,0,veh24,0,veh24,0,veh24,0
,0,,0,,0,,0,,0
veh26,0,veh26,0,veh26,0,veh26,0,veh26,0
veh27,0,veh27,0,veh27,0,veh27,0,veh27,0
veh28,0,veh28,0,veh28,0,veh28,0,veh28,0
veh29,0,veh29,0,veh29,0,veh29,0,veh29,0
veh30,0,veh30,1,veh30,1,veh30,1,veh30,1
veh31,0,veh31,0,veh31,0,veh31,0,veh31,0
veh32,0,veh32,0,veh32,0,veh32,0,veh32,0
veh33,1,veh33,1,veh33,1,veh33,1,veh33,1
veh34,0,veh34,0,veh34,0,veh34,0,veh34,0
veh35,1,veh35,0,veh35,0,veh35,0,veh35,1
veh36,0,veh36,0,veh36,0,veh36,0,veh36,0
veh37,0,veh37,0,veh37,0,veh37,0,veh37,0
,0,,0,,0,,0,,0
veh39,0,veh39,0,veh39,0,veh39,0,,0
veh40,0,veh40,0,veh40,0,veh40,0,,0
veh41,0,veh41,0,veh41,0,veh41,0,,0
veh42,0,veh42,0,veh42,0,veh42,0,,0
veh43,0,veh43,0,veh43,0,veh43,0,,0
veh44,0,veh44,0,veh44,0,veh44,0,,0
veh45,0,veh45,0,veh45,0,veh45,0,,0
veh46,0,veh46,0,veh46,0,,0,,0
veh47,0,veh47,0,veh47,0,,0,,0
veh48,0,veh48,0,veh48,0,,0,,0
veh49,0,veh49,0,veh49,0,,0,,0
veh50,0,veh50,0,veh50,0,,0,,0
veh51,0,veh51,0,veh51,0,,0,,0
veh52,0,veh52,0,veh52,0,,0,,0
veh53,0,veh53,0,veh53,0,,0,,0
veh54,0,veh54,0,,0,,0,,0
veh55,0,veh55,0,,0,,0,,0
veh56,0,veh56,0,,0,,0,,0
veh57,0,veh57,0,,0,,0,,0
veh58,0,veh58,0,,0,,0,,0
veh59,0,veh59,0,,0,,0,,0
,0,,0,,0,,0,,0
veh61,0,veh61,0,,0,,0,,0
veh62,0,,0,,0,,0,,0
veh63,0,,0,,0,,0,,0
veh64,0,,0,,0,,0,,0
veh65,0,,0,,0,,0,,0
veh66,1,,0,,0,,0,,0
veh67,0,,0,,0,,0,,0
veh68,0,,0,,0,,0,,0
,0,,0,,0,,0,,0
