timestep_time,vehicle_angle,vehicle_id,vehicle_x,vehicle_y
0,288.7,veh0,1373.87,278.43
1,292.79,veh0,1361.02,283.63
2,292.79,veh0,1348.09,289.06
2,224.73,veh1,2335.64,1781.66
3,293.46,veh0,1335.03,294.66
3,224.73,veh1,2327.44,1773.38
3,163.37,veh2,1985.13,1949.81
4,293.46,veh0,1322.47,300.12
4,225.58,veh1,2318.98,1764.94
4,163.37,veh2,1987.18,1942.94
4,323.51,veh3,2629.61,1228.65
5,293.46,veh0,1309.89,305.57
5,234.35,veh1,2309.24,1757.96
5,140.59,veh2,1991.71,1937.22
5,323.51,veh3,2624.85,1235.08
6,293.46,veh0,1296.86,311.23
6,234.35,veh1,2299.37,1750.88
6,131.5,veh2,1996.87,1932.18
6,323.51,veh3,2619.62,1242.15
6,48.64,veh4,2521.01,1379.62
7,293.45,veh0,1284.15,316.75
7,241.9,veh1,2291,1745.65
7,125.49,veh2,2003.68,1927.32
7,323.51,veh3,2614.84,1248.61
7,48.64,veh4,2522.7,1381.1
7,197.01,veh5,505.08,1408.6
8,293.45,veh0,1271.12,322.4
8,247.93,veh1,2281.28,1742.87
8,125.49,veh2,2010.09,1922.75
8,323.51,veh3,2609.71,1255.55
8,37.83,veh4,2525.25,1384.57
8,197.01,veh5,504.6,1407.05
9,293.45,veh0,1258.01,328.08
9,277.9,veh1,2273.39,1742.62
9,125.49,veh2,2016.79,1917.97
9,323.51,veh3,2604.97,1261.96
9,334.36,veh4,2523.16,1389.75
9,197.01,veh5,503.65,1403.92
10,293.45,veh0,1245.09,333.69
10,302.64,veh1,2267.23,1746.31
10,125.49,veh2,2023.56,1913.15
10,323.51,veh3,2600.13,1268.5
10,325.16,veh4,2518.6,1396.29
10,197.01,veh5,502.53,1400.27
10,338.65,veh7,642.53,591.26
11,293.45,veh0,1232.21,339.28
11,306.54,veh1,2261.26,1750.74
11,125.49,veh2,2030.27,1908.36
11,323.51,veh3,2595.53,1274.72
11,325.16,veh4,2513.87,1403.09
11,190.2,veh5,502.49,1398.16
11,338.65,veh7,641.81,593.11
11,144.08,veh8,699.89,1331.34
12,293.25,veh0,1219.27,344.87
12,306.54,veh1,2255.05,1755.34
12,125.49,veh2,2036.23,1904.11
12,323.51,veh3,2590.37,1281.7
12,325.16,veh4,2509.08,1409.97
12,140.34,veh5,504.62,1397.71
12,338.65,veh7,640.54,596.35
12,144.1,veh8,700.9,1329.94
12,359.31,veh9,1864.29,295.18
13,293.23,veh0,1206.84,350.21
13,306.52,veh1,2248.97,1759.84
13,125.49,veh2,2042.64,1899.54
13,323.51,veh3,2585.54,1288.23
13,325.16,veh4,2504.7,1416.26
13,79.29,veh5,505.53,1399.15
13,338.65,veh7,638.54,601.47
13,144.11,veh8,702.78,1327.35
13,359.12,veh9,1864.13,307.31
14,293.23,veh0,1194.49,355.51
14,306.28,veh1,2243.26,1764.04
14,359.31,veh10,1864.29,295.18
14,122.9,veh2,2049.31,1895.14
14,323.51,veh3,2580.25,1295.38
14,325.16,veh4,2500.3,1422.58
14,17.01,veh5,506.77,1403.2
14,338.65,veh7,636.04,607.89
14,144.11,veh8,705.75,1323.25
14,353.72,veh9,1862.75,319.84
15,293.23,veh0,1182.13,360.81
15,305.88,veh1,2237.72,1768.06
15,359.31,veh10,1864.16,305.89
15,154.06,veh11,327.07,921.67
15,125.13,veh2,2056.23,1890.42
15,323.51,veh3,2575.59,1301.68
15,325.16,veh4,2495.89,1428.92
15,17.01,veh5,508.46,1408.71
15,338.65,veh7,632.7,616.41
15,144.08,veh8,707.46,1315.42
15,351.88,veh9,1861.27,331.62
16,293.23,veh0,1169.25,366.34
16,304.58,veh1,2232.16,1771.89
16,353.72,veh10,1862.99,317.64
16,154.04,veh11,331.48,912.61
16,125.71,veh2,2062.39,1886
16,323.51,veh3,2570.94,1307.97
16,325.16,veh4,2491.33,1435.47
16,12.5,veh5,509.94,1414.89
16,338.65,veh7,628.58,626.96
16,144.08,veh8,713.06,1307.69
16,345.78,veh9,1858.92,344.37
17,293.23,veh0,1158.54,370.94
17,304.58,veh1,2225.78,1776.29
17,352.82,veh10,1861.72,328.52
17,154.53,veh11,334,907.33
17,125.71,veh2,2068.96,1881.28
17,323.51,veh3,2565.95,1314.71
17,325.16,veh4,2486.86,1441.89
17,35.19,veh5,513.53,1420.61
17,338.65,veh7,623.57,639.78
17,144.08,veh8,719.44,1298.88
17,344.57,veh9,1855.76,355.79
18,293.79,veh0,1151.98,373.78
18,304.58,veh1,2220.16,1780.16
18,351.88,veh10,1860.16,339.44
18,154.61,veh11,334.58,906.11
18,359.31,veh13,1864.29,295.18
18,125.32,veh2,2075.39,1876.69
18,323.33,veh3,2561.01,1321.36
18,325.16,veh4,2484.57,1445.19
18,41.49,veh5,517.64,1425.26
18,338.28,veh7,618.53,652.47
18,144.08,veh8,726.2,1289.56
18,341.9,veh9,1851.99,367.83
19,340.02,veh0,1148.75,379.36
19,304.58,veh1,2214.32,1784.19
19,344.57,veh10,1857.19,350.63
19,154.61,veh11,334.66,905.94
19,356.9,veh13,1863.91,309.29
19,249.44,veh14,1658.36,1659.95
19,123.52,veh2,2081.43,1872.69
19,292.41,veh3,2553.54,1324.44
19,319.76,veh4,2481.14,1449.3
19,40.64,veh5,519.51,1427.45
19,329.86,veh7,611.96,664.4
19,144.08,veh8,732.74,1280.53
19,341.04,veh9,1848.13,379.06
20,12.96,veh0,1150.18,386.79
20,304.59,veh1,2208.47,1788.22
20,342.77,veh10,1853.93,361.84
20,154.61,veh11,334.69,905.89
20,353.72,veh13,1862.37,323.25
20,248.17,veh14,1657.04,1659.33
20,266.41,veh15,821.44,1445.13
20,123.52,veh2,2087.69,1868.55
20,317.14,veh3,2546.65,1329.5
20,265.69,veh4,2474.4,1450.27
20,64.02,veh5,522.43,1428.03
20,329.97,veh7,604.96,676.46
20,133.88,veh8,740.62,1271.69
20,341.04,veh9,1843.95,391.22
21,13.99,veh0,1152.58,396.64
21,305.97,veh1,2202.25,1792.65
21,341.04,veh10,1850.42,372.4
21,154.61,veh11,334.7,905.87
21,351.88,veh13,1860.52,336.85
21,243.68,veh14,1654.34,1657.89
21,266.41,veh15,812.24,1444.55
21,359.31,veh16,1864.29,295.18
21,123.52,veh2,2094.48,1864.05
21,322.34,veh3,2541.77,1335.83
21,219.61,veh4,2470.13,1445.44
21,83.32,veh5,527.89,1428.67
21,331.46,veh7,598.34,688.65
21,142.98,veh8,747.92,1262.89
21,341.04,veh9,1840.01,402.69
22,13.99,veh0,1155.56,408.61
22,306.4,veh1,2196.88,1796.61
22,341.04,veh10,1846.87,382.74
22,154.61,veh11,334.7,905.87
22,344.57,veh13,1857.26,350.35
22,241.81,veh14,1650.16,1655.64
22,266.41,veh15,803.99,1444.03
22,358.6,veh16,1864.08,307.78
22,123.52,veh2,2100.49,1860.06
22,322.34,veh3,2536.4,1342.78
22,214.11,veh4,2465.65,1438.83
22,83.32,veh5,535.48,1429.56
22,331.46,veh7,592.72,698.97
22,142.98,veh8,754.89,1253.65
22,341.04,veh9,1836.2,413.78
23,13.99,veh0,1159.07,422.72
23,306.11,veh1,2190.71,1801.13
23,341.04,veh10,1843.22,393.35
23,154.61,veh11,334.7,905.87
23,342.55,veh13,1853.56,363.03
23,241.97,veh14,1644.18,1652.46
23,266.41,veh15,795.01,1443.47
23,353.72,veh16,1862.66,320.68
23,184.93,veh17,612.87,1860.64
23,123.69,veh2,2106.68,1855.95
23,322.34,veh3,2531.56,1349.05
23,214.11,veh4,2460.92,1431.85
23,83.32,veh5,544.44,1430.61
23,331.46,veh7,589.26,705.34
23,142.98,veh8,762.27,1243.87
23,341.04,veh9,1832.24,425.3
24,13.99,veh0,1162.52,436.57
24,305.93,veh1,2184.77,1805.44
24,341.04,veh10,1839.38,404.53
24,154.56,veh11,335.34,904.52
24,341.04,veh13,1849.2,375.95
24,250.2,veh14,1636.31,1649.16
24,266.41,veh15,786.01,1442.9
24,351.88,veh16,1861,333.55
24,188.78,veh17,611.1,1849.19
24,103.92,veh18,269.02,1476.56
24,125.35,veh2,2113,1851.53
24,322.34,veh3,2526.78,1355.25
24,214.11,veh4,2456.33,1425.08
24,83.32,veh5,555.69,1431.93
24,331.4,veh7,587.94,707.75
24,142.98,veh8,769.53,1234.23
24,341.04,veh9,1828.23,436.99
25,11.99,veh0,1165.67,450.25
25,303.89,veh1,2178.97,1809.36
25,341.04,veh10,1835.84,414.82
25,154.18,veh11,337.02,901.07
25,341.04,veh13,1844.94,388.36
25,253.78,veh14,1628.65,1646.74
25,266.41,veh15,777.36,1442.36
25,344.8,veh16,1858.33,346.5
25,188.78,veh17,609.15,1836.58
25,103.92,veh18,275.87,1474.87
25,224.72,veh19,2340.08,1777.06
