timestep_time,vehicle_angle,vehicle_id,vehicle_x,vehicle_y
0,54.86,bus0,2422.43,917.33
0,219.43,veh0,2215.72,778.11
1,54.78,bus0,2423.18,917.88
1,219.43,veh0,2214.36,776.46
2,54.63,bus0,2424.61,918.93
2,219.43,veh0,2212.1,773.71
3,54.41,bus0,2426.61,920.39
3,219.43,veh0,2208.87,769.78
3,18.68,veh1,1173.51,1418.82
4,54.1,bus0,2429.51,922.51
4,219.42,veh0,2204.61,764.6
4,18.68,veh1,1173.94,1420.07
5,53.83,bus0,2432.95,925.02
5,219.42,veh0,2199.11,757.91
5,18.68,veh1,1175.16,1423.69
5,10.02,veh2,2193.19,400.9
6,53.82,bus0,2437.04,928.02
6,219.42,veh0,2192.27,749.59
6,18.68,veh1,1177.11,1429.46
6,10.02,veh2,2195.56,414.34
7,53.81,bus0,2441.66,931.4
7,219.93,veh0,2184.32,739.99
7,18.68,veh1,1179.35,1436.09
7,10.13,veh2,2198.01,428.08
7,339.17,veh3,1401.14,494.42
8,53.79,bus0,2447,935.31
8,175.27,bus1,657.08,1536.52
8,220.62,veh0,2174.17,729.79
8,18.68,veh1,1181.74,1443.16
8,10.13,veh2,2200.43,441.64
8,339.17,veh3,1400.59,495.86
9,61.58,bus0,2453.6,938.16
9,175.14,bus1,658.23,1522.89
9,216.52,veh0,2165.86,718.56
9,18.68,veh1,1184.24,1450.55
9,10.13,veh2,2202.84,455.15
9,339.17,veh3,1399.45,498.85
9,85.88,veh4,628.21,836.32
10,55.5,bus0,2460.11,943.36
10,175,bus1,659.39,1509.58
10,216.81,veh0,2157.25,706.98
10,18.68,veh1,1186.66,1457.69
10,10.13,veh2,2205.26,468.7
10,339.17,veh3,1397.65,503.58
10,85.88,veh4,630.45,836.48
11,51.4,bus0,2467.35,949.13
11,174.94,bus1,660.61,1495.89
11,216.99,veh0,2148.89,695.88
11,44.81,veh1,1190.66,1463.16
11,10.13,veh2,2207.59,481.74
11,339.85,veh3,1395.37,509.75
11,85.88,veh4,634.55,836.77
11,79.86,veh5,140.87,1190.13
12,51.4,bus0,2475.51,955.65
12,174.94,bus1,661.81,1482.32
12,231.53,veh0,2139.35,685.47
12,103.07,veh1,1198.19,1462.07
12,10.13,veh2,2209.84,494.34
12,339.92,veh3,1392.46,517.7
12,85.88,veh4,640.59,837.21
12,79.81,veh5,146.45,1191.13
13,51.4,bus0,2484.46,962.8
13,175.7,bus1,662.86,1468.6
13,216.65,veh0,2130.99,674.62
13,112.12,veh1,1204.49,1459.73
13,10.13,veh2,2211.54,503.86
13,339.92,veh3,1389.53,525.72
13,85.34,veh4,649.13,837.9
13,79.78,veh5,152.73,1192.26
13,132.92,veh6,550.73,1251.77
14,50.12,bus0,2493.93,970.7
14,176.35,bus1,663.68,1455.87
14,216.65,veh0,2123.22,664.17
14,114.13,veh1,1211.14,1456.79
14,10.13,veh2,2212.46,509.01
14,351.4,veh3,1388.02,533.35
14,84.79,veh4,657.45,838.65
14,79.78,veh5,158.55,1193.31
14,133.16,veh6,557.04,1245.87
15,47.45,bus0,2500.34,976.58
15,176.35,bus1,664.26,1446.72
15,217.38,veh0,2117.95,657.2
15,115.09,veh1,1217.78,1453.67
15,1.89,veh2,2212.61,513.84
15,355.4,veh3,1387.34,541.79
15,84.79,veh4,665.02,839.34
15,79.78,veh5,164.64,1194.41
15,140.45,veh6,562.03,1240.21
15,337.32,veh7,2648.06,537.54
16,48.25,bus0,2507.35,982.79
16,176.35,bus1,664.61,1441.31
16,62.82,bus2,511.64,1328.23
16,218.03,veh0,2115.16,653.66
16,115.09,veh1,1224.11,1450.71
16,356.82,veh2,2212.42,520.45
16,355.48,veh3,1386.66,550.42
16,84.79,veh4,673.22,840.09
16,79.78,veh5,171.38,1195.62
16,140.78,veh6,566.81,1234.35
16,337.32,veh7,2645.55,543.56
17,34.73,bus0,2512.7,991.46
17,176.35,bus1,664.71,1439.72
17,62.83,bus2,512.62,1328.73
17,218.05,veh0,2115.05,653.51
17,115.09,veh1,1230.1,1447.91
17,104.82,veh2,2218.22,519
17,355.46,veh3,1386.01,558.6
17,84.79,veh4,681.38,840.84
17,79.78,veh5,177.37,1196.7
17,140.68,veh6,572.22,1227.74
17,337.32,veh7,2642.97,549.73
17,79.86,veh8,140.87,1190.13
18,38.77,bus0,2519.44,999.89
18,176.35,bus1,664.72,1439.46
18,62.84,bus2,514.33,1329.61
18,218.07,veh0,2114.99,653.44
18,114.92,veh1,1237.15,1444.62
18,111.44,veh2,2226.06,515.53
18,355.46,veh3,1385.39,566.46
18,84.79,veh4,689.47,841.57
18,79.78,veh5,183.36,1197.78
18,140.63,veh6,577.44,1221.37
18,337.32,veh7,2640.32,556.07
18,79.78,veh8,147.84,1191.38
19,33.94,bus0,2523.94,1006.73
19,176.35,bus1,664.74,1439.27
19,62.84,bus2,517.05,1331
19,218.07,veh0,2114.99,653.43
19,114.83,veh1,1243.61,1441.63
19,104.94,veh2,2236.39,512.57
19,355.46,veh3,1384.74,574.63
19,84.79,veh4,696.98,842.26
19,79.78,veh5,190.03,1198.99
19,140.63,veh6,582.46,1215.26
19,336.59,veh7,2637.81,561.92
19,79.78,veh8,154.9,1192.65
19,98.13,veh9,2195.5,1396.34
20,32.47,bus0,2526.59,1011
20,176.35,bus1,664.74,1439.26
20,62.85,bus2,520.58,1332.81
20,218.07,veh0,2114.99,653.43
20,114.83,veh1,1250.46,1438.46
20,104.94,veh2,2248.08,509.45
20,355.46,veh3,1384.08,582.97
20,84.88,veh4,704.65,842.95
20,79.78,veh5,196.34,1200.12
20,140.63,veh6,587.95,1208.56
20,331.31,veh7,2634.75,567.51
20,79.78,veh8,161.97,1193.93
20,97.77,veh9,2197.01,1396.15
21,32.15,bus0,2527.18,1011.94
21,176.35,bus1,664.74,1439.26
21,62.85,bus2,525.1,1335.13
21,218.07,veh0,2114.99,653.43
21,114.83,veh1,1256.4,1435.71
21,77.99,veh10,2271.34,630.11
21,104.94,veh2,2260.68,506.09
21,355.39,veh3,1383.37,591.75
21,84.96,veh4,710.06,843.43
21,79.78,veh5,201.98,1201.14
21,140.63,veh6,593.04,1202.35
